session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e061,2026-09-11,13:50,14:10,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,"Как стать героем журнала «Правила жизни» за 10 шагов (и 3 ошибки, которые всё испортят)",григорий туманов,grigorii-tumanov,g8
g8-2026-e063,2026-09-11,14:30,14:50,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Вперед в прошлое: рывок из ада синтетики,рома бедретдинов,roma-bedretdinov,g8
g8-2026-e064,2026-09-11,14:50,15:10,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Секретная тема,ирина парфентьева; илья доронов,irina-parfenteva; ilya-doronov,g8
g8-2026-e065,2026-09-11,15:10,15:30,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Что происходит в мире новостных медиа? Взгляд генерального директора,андрей цыпер,andrei-tsyper,g8
g8-2026-e066,2026-09-11,15:30,15:50,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,"Бизнес = система. Как креативному бизнесу расти и масштабироваться, не теряя автора?",ева шумляева,eva-shumlyaeva,g8
g8-2026-e068,2026-09-11,16:10,16:40,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,disc,Дискуссия: Ответственность создателей за ПП и фастфуд,катя норштейн; ольга никулина; владимир котт; илья учитель; иван шаров,katya-norshtein; olga-nikulina; vladimir-kott; ilya-uchitel; ivan-sharov,g8
g8-2026-e069,2026-09-11,16:40,17:00,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,talk,«Жанровый субстрат» от режиссёра КиШа,рустам мосафир,rustam-mosafir,g8
g8-2026-e070,2026-09-11,17:00,17:20,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,talk,С чего начинается хит: за год до первой серии. Девелопмент больших сериалов,ольга никулина,olga-nikulina,g8
g8-2026-e071,2026-09-11,17:20,17:40,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,talk,"Любимый ингредиент. Темы и приемы, к которым возвращаешься снова и снова. Как формируется почерк автора",владимир котт,vladimir-kott,g8
g8-2026-e072,2026-09-11,17:40,18:00,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,talk,"Кто здесь главный? Кому принадлежит последнее слово в кино — автору, продюсеру, платформе или зрителю?",илья учитель,ilya-uchitel,g8
g8-2026-e073,2026-09-11,18:00,18:20,Котельная,хлебозавод №9,Хлебозавод,Кино,Катя Норштейн,talk,Производство впечатлений. Как из сериала сделать событие,иван шаров,ivan-sharov,g8
g8-2026-e075,2026-09-11,18:40,19:00,Котельная,хлебозавод №9,Хлебозавод,Издательское дело,Кирилл Шелест,talk,Книги «по краям»: как Ad Marginem проводит фестивали от Калининграда до Владивостока,кирилл шелест,kirill-shelest,g8
g8-2026-e076,2026-09-11,19:00,19:20,Котельная,хлебозавод №9,Хлебозавод,Издательское дело,Кирилл Шелест,talk,Moscow Book Week: как главный фестиваль книжной культуры меняет город,дмитрий харьков,dmitrii-harkov,g8
g8-2026-e077,2026-09-11,19:20,19:40,Котельная,хлебозавод №9,Хлебозавод,Издательское дело,Кирилл Шелест,talk,«Книга как объект дизайна»: издательский проект о русском авангарде от Ad Marginem и ABCdesign,дмитрий мордвинцев,dmitrii-mordvintsev,g8
g8-2026-e079,2026-09-11,20:00,,Котельная,хлебозавод №9,Хлебозавод,Стендап,Арсений Ашомко,special,Стендап-концерт,полина накрайникова; владимир гуринович; лиза ягуарушкина; влад сидоров,polina-nakrainikova; vladimir-gurinovich; liza-yaguarushkina; vlad-sidorov,g8
g8-2026-e080,2026-09-11,10:00,10:20,Simple Music,хлебозавод №9,Хлебозавод,Веб,Денис Ломов,talk,Вступительное слово,денис ломов,denis-lomov,g8
g8-2026-e081,2026-09-11,10:20,10:40,Simple Music,хлебозавод №9,Хлебозавод,Веб,Денис Ломов,talk,"± вайб: нейросети, тревога и новая роль дизайнера",евгений филатов,evgenii-filatov,g8
g8-2026-e082,2026-09-11,10:40,11:00,Simple Music,хлебозавод №9,Хлебозавод,Веб,Денис Ломов,talk,Этот чудн(ы/о)й новый UX,артём федоров,artem-fedorov,g8
g8-2026-e083,2026-09-11,11:00,11:20,Simple Music,хлебозавод №9,Хлебозавод,Веб,Денис Ломов,talk,AI в creative dev: как меняется граница между генерацией и ручной доработкой в креативном вебе и спецпроектах,антон бондарь,anton-bondar,g8
g8-2026-e084,2026-09-11,11:20,11:50,Simple Music,хлебозавод №9,Хлебозавод,Веб,Денис Ломов,disc,Дискуссия: AI: про новые правила игры в UX,денис ломов; евгений филатов; артём федоров; антон бондарь,denis-lomov; evgenii-filatov; artem-fedorov; anton-bondar,g8
g8-2026-e086,2026-09-11,12:10,12:40,Simple Music,хлебозавод №9,Хлебозавод,Образование,Наташа Климчук,disc,Дискуссия: Нужны ли оценки: талант против критериев,наташа климчук; наадя (надя грицкевич); иван стельмах; пётр сафронов,natasha-klimchuk; naadya-nadya-gritskevich; ivan-stelmah; petr-safronov,g8
g8-2026-e087,2026-09-11,12:40,13:00,Simple Music,хлебозавод №9,Хлебозавод,Образование,Наташа Климчук,talk,"Экспериментальные техники при написании песен, или почему мы пока обойдемся без ИИ",наадя грицкевич,naadya-gritskevich,g8
g8-2026-e088,2026-09-11,13:00,13:20,Simple Music,хлебозавод №9,Хлебозавод,Образование,Наташа Климчук,talk,Высшее образование как продукт,иван стельмах,ivan-stelmah,g8
g8-2026-e089,2026-09-11,13:20,13:40,Simple Music,хлебозавод №9,Хлебозавод,Образование,Наташа Климчук,talk,Что такое изобретение? Образование и «причинение» добра,пётр сафронов,petr-safronov,g8
g8-2026-e091,2026-09-11,14:00,14:20,Simple Music,хлебозавод №9,Хлебозавод,Музыка,S&P Records,talk,State of Music 2026,денис глазин,denis-glazin,g8
g8-2026-e092,2026-09-11,14:20,14:40,Simple Music,хлебозавод №9,Хлебозавод,Музыка,S&P Records,talk,Маркетинг: как заставить вас слушать музыку,арам даниелян,aram-danielyan,g8
g8-2026-e093,2026-09-11,14:40,15:00,Simple Music,хлебозавод №9,Хлебозавод,Музыка,S&P Records,talk,Кто пишет ваш следующий хит — человек или машина?,максим ворошилов,maksim-voroshilov,g8
g8-2026-e094,2026-09-11,15:00,15:20,Simple Music,хлебозавод №9,Хлебозавод,Музыка,S&P Records,talk,Как быть заметным среди заметных?,травма,travma,g8
g8-2026-e096,2026-09-11,15:40,16:00,Simple Music,хлебозавод №9,Хлебозавод,Бюро Глагол,,talk,Не будь квадратом: четыре способа творить в жестких рамках,юрий наумов,yurii-naumov,g8
