name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Дмитрий Щугорев,дмитрий щугорев,dmitrii-schugorev,https://www.design-events.fun/speaker/dmitrii-schugorev,0,0,1,главный редактор телеканала Москва24,Медиа,Котельная,e060
Ева Шумляева,ева шумляева,eva-shumlyaeva,https://www.design-events.fun/speaker/eva-shumlyaeva,1,0,1,продюсер по маркетингу и коммуникациям Plan the Best,Медиа,Котельная,e066
Евгения Галетка,евгения галетка,evgeniya-galetka,https://www.design-events.fun/speaker/evgeniya-galetka,0,0,1,основатель и генеральный директор Journey,REDDAY,Гостиная,e121
Евгения Новокрещенова,евгения новокрещенова,evgeniya-novokreschenova,https://www.design-events.fun/speaker/evgeniya-novokreschenova,0,0,1,арт-директор DDVB,Дизайн,Бойлерная,e014
Екатерина Беляева,екатерина беляева,ekaterina-belyaeva,https://www.design-events.fun/speaker/ekaterina-belyaeva,1,1,1,академический руководитель «Медиаискусство» в Центральном университете,Медиаарт,Центр Внутри,e032
Женя Ефанов,женя ефанов,zhenya-efanov,https://www.design-events.fun/speaker/zhenya-efanov,0,0,1,управляющий партнер AIC,Дизайн,Бойлерная,e012
Женя Редкэпп,женя редкэпп,zhenya-redkepp,https://www.design-events.fun/speaker/zhenya-redkepp,0,0,1,"режиссер, основатель Ai-платформы Reddeck.ai",Компьютерная графика,Центр Внутри,e038
Зелим Габисов,зелим габисов,zelim-gabisov,https://www.design-events.fun/speaker/zelim-gabisov,1,1,1,креативный редактор в A! Magazine,Медиа,Котельная,e059
Иван Нефёдкин,иван нефёдкин,ivan-nefedkin,https://www.design-events.fun/speaker/ivan-nefedkin,0,0,1,"основатель и креативный директор Radugadesign, основатель Generative Gallery",Медиаарт,Центр Внутри,e033
Иван Смелянский,иван смелянский,ivan-smelyanskii,https://www.design-events.fun/speaker/ivan-smelyanskii,0,0,1,руководитель маркетинга Авито.Подработка,Маркетинг,Бойлерная,e007
Иван Черкалов,иван черкалов,ivan-cherkalov,https://www.design-events.fun/speaker/ivan-cherkalov,0,0,1,,Клуб,Лекторий,e138
Игорь Демидов,игорь демидов,igor-demidov,https://www.design-events.fun/speaker/igor-demidov,1,0,1,"сооснователь и CEO агентства событийного маркетинга N:OW, партнёр агентства Teammate",REDDAY,Гостиная,e124
Игорь Сайфуллин,игорь сайфуллин,igor-saifullin,https://www.design-events.fun/speaker/igor-saifullin,0,0,1,генеральный директор Бюро «Рабочее название»,Big Picture,Лекторий,e132
Игорь Фроловский,игорь фроловский,igor-frolovskii,https://www.design-events.fun/speaker/igor-frolovskii,0,0,1,сооснователь и дизайн-директор в агентстве AffArts,Дизайн,Бойлерная,e014
